Level I,Level II,Level III,Level IV,Level V,Level VI,Level VII,Level VIII,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WebServices,,,,,,,,,,,,,,,,,,,,,,
,,,,AWS,,,,,,,,,,,,,,,,,,,,,
,,,,,EC2,,,,,,,,,,,,,,,,,,,,
,,,,,S3,,,,,,,,,,,,,,,,,,,,
,,,,,SQ3,,,,,,,,,,,,,,,,,,,,
,,,,Heroku,,,,,,,,,,,,,,,,,,,,,
,,,,Google App Engine,,,,,,,,,,,,,,,,,,,,,
,,,,Microsoft Azure,,,,,,,,,,,,,,,,,,,,,
,,,Frameworks,,,,,,,,,,,,,,,,,,,,,,
,,,,Accumulo,,,,,,,,,,,,,,,,,,,,,
,,,,Bigtop,,,,,,,,,,,,,,,,,,,,,
,,,,Cassandra,,,,,,,,,,,,,,,,,,,,,
,,,,CouchDB,,,,,,,,,,,,,,,,,,,,,
,,,,Mahout,,,,,,,,,,,,,,,,,,,,,
,,,,Datameer,,,,,,,,,,,,,,,,,,,,,
,,,,Hbase,,,,,,,,,,,,,,,,,,,,,
,,,,HPCC,,,,,,,,,,,,,,,,,,,,,
,,,,Hybertable,,,,,,,,,,,,,,,,,,,,,
,,,,Mapreduce,,,,,,,,,,,,,,,,,,,,,
,,,,Nutch,,,,,,,,,,,,,,,,,,,,,
,,,,Hadoop,,,,,,,,,,,,,,,,,,,,,
,,,Hadoop,,,,,,,,,,,,,,,,,,,,,,
,,,,Hosting,,,,,,,,,,,,,,,,,,,,,
,,,,,HD Insight,,,,,,,,,,,,,,,,,,,,
,,,,,EC2,,,,,,,,,,,,,,,,,,,,
,,,,,S3,,,,,,,,,,,,,,,,,,,,
,,,,,EMR,,,,,,,,,,,,,,,,,,,,
,,,,Frameworks,,,,,,,,,,,,,,,,,,,,,
,,,,,Sqoop,,,,,,,,,,,,,,,,,,,,
,,,,,Avro,,,,,,,,,,,,,,,,,,,,
,,,,,Thrift,,,,,,,,,,,,,,,,,,,,
,,,,,Pig,,,,,,,,,,,,,,,,,,,,
